,l_XY,l_YZ,l_XZ,r_XY,r_YZ,r_XZ,label
0,1.07722521137255,0.9903390632205518,2.0077145317912337,1.013192942644409,1.1345762267374246,-2.424737819490124,0
1,1.1310467599234424,0.9559072359676991,1.9757677477399103,1.0864520091232561,1.1498939382270246,-2.174192016150088,0
2,1.1916529677683172,0.921074523598072,1.8994808831138161,1.0253038580484681,1.1423496759699,-1.5624118430771554,0
3,1.3286507056998607,0.8245856062675617,1.6444462758842047,1.2176028391256317,0.9771091172566904,-1.3836249888575243,0
4,1.2320852675487655,0.8638715241355409,1.6539581836564212,1.0423925709288095,1.0756597326984132,-1.1386011277404287,0
5,1.3268918138272083,0.846297464767839,2.30062789469551,1.0053747632027004,1.174660231067249,-0.9501342673374207,0
6,1.3532563834397813,0.9149076426361558,2.2151274666149936,0.9472926764753856,1.167151585326073,-0.6417435294797509,0
7,1.2586871766417644,0.9606723364313824,1.5478107740565283,0.9196516506038437,1.0630310781294907,-0.703287120425156,0
8,1.2259343899598105,0.929296456419742,0.8918432775036766,0.9045999580653625,1.24821727285401,-0.7092384940171953,0
9,1.1704203044984363,0.9744097241667289,0.5350198465244742,0.8710826195721167,1.176786433485324,-0.6396579774682176,0
10,1.1533682019933356,1.052206105296288,-0.20626558464635042,0.8459044920949097,1.0897876658143908,-0.7118908420496685,0
11,1.132337129746861,1.036518243848639,-0.659302857059193,0.8142861279126409,1.1008451866292368,-0.6727465610540475,0
12,1.1787463304685613,1.020292322502508,-0.9220382785875706,0.7902825953967877,1.1467136447981223,-0.6755715321190189,0
13,1.1951377243599641,1.0144790668080945,-0.7318839115612024,0.7799211958465161,1.1324553154277273,-0.5975945965684174,0
14,1.1955307454220123,0.9908572164741546,-0.7699301880837629,0.8069233410903961,1.0635156482372343,-0.5678341005695032,0
15,1.2268711622046387,0.9829863695399575,-0.6825525052021386,0.8203588899685224,1.027853583048945,-0.5442523644040208,0
